19.262: [GC19.262: [DefNew: 4863K->512K(4864K), 0.3086210 secs]19.571: [Tenured: 11744K->7832K(11840K), 0.1102770 secs] 15010K->7832K(16704K), [Perm : 19038K->19038K(21248K)], 0.4191250 secs] [Times: user=0.04 sys=0.35, real=0.42 secs] 
20.323: [GC20.323: [DefNew: 5312K->640K(5952K), 0.0238030 secs] 13144K->8761K(19008K), 0.0279240 secs] [Times: user=0.02 sys=0.01, real=0.03 secs] 
21.416: [GC21.416: [DefNew: 5952K->640K(5952K), 0.0027950 secs] 14073K->9428K(19008K), 0.0028610 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
22.166: [GC22.166: [DefNew: 5952K->640K(5952K), 0.0025680 secs] 14740K->9960K(19008K), 0.0028530 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
22.257: [GC22.257: [DefNew: 5952K->640K(5952K), 0.0025580 secs] 15272K->10571K(19008K), 0.0026350 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
22.418: [GC22.418: [DefNew: 5952K->639K(5952K), 0.0019680 secs] 15883K->10894K(19008K), 0.0020310 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
22.494: [GC22.494: [DefNew: 5933K->639K(5952K), 0.0020160 secs] 16187K->11298K(19008K), 0.0020840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.599: [GC22.599: [DefNew: 5951K->640K(5952K), 0.0044060 secs] 16610K->12317K(19008K), 0.0045070 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.661: [GC22.661: [DefNew: 5952K->640K(5952K), 0.0038280 secs] 17629K->13406K(19008K), 0.0039010 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.905: [GC22.905: [DefNew: 5952K->640K(5952K), 0.0035090 secs]22.908: [Tenured: 13631K->10693K(13632K), 0.0966150 secs] 18718K->10693K(19584K), [Perm : 25802K->25802K(26048K)], 0.1012830 secs] [Times: user=0.10 sys=0.00, real=0.10 secs] 
23.274: [GC23.274: [DefNew: 7168K->856K(8064K), 0.0035510 secs] 17861K->11549K(25888K), 0.0036230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.518: [GC24.518: [DefNew: 8024K->638K(8064K), 0.0038280 secs] 18717K->11690K(25888K), 0.0039150 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
25.508: [GC25.508: [DefNew: 7806K->896K(8064K), 0.0029760 secs] 18858K->12631K(25888K), 0.0030430 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
25.737: [GC25.737: [DefNew: 8064K->569K(8064K), 0.0025340 secs] 19799K->12510K(25888K), 0.0025900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.269: [GC26.269: [DefNew: 7737K->896K(8064K), 0.0038250 secs] 19678K->13251K(25888K), 0.0038880 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
26.838: [GC26.838: [DefNew: 8064K->895K(8064K), 0.0051350 secs] 20419K->14450K(25888K), 0.0052130 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
28.184: [Full GC28.184: [Tenured: 13554K->11232K(17824K), 0.0664150 secs] 18412K->11232K(25888K), [Perm : 31487K->31478K(31488K)], 0.0665200 secs] [Times: user=0.07 sys=0.00, real=0.07 secs] 
29.062: [GC29.062: [DefNew: 7616K->896K(8512K), 0.0051540 secs] 18848K->12916K(27236K), 0.0052330 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
54.809: [GC54.809: [DefNew: 8512K->276K(8512K), 0.0041240 secs] 20532K->13186K(27236K), 0.0041780 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.980: [GC67.980: [DefNew: 7892K->895K(8512K), 0.0026530 secs] 20802K->13863K(27236K), 0.0027150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
69.294: [GC69.294: [DefNew: 8511K->664K(8512K), 0.0031040 secs] 21479K->14223K(27236K), 0.0031700 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
69.392: [GC69.392: [DefNew: 8280K->394K(8512K), 0.4048580 secs] 21839K->14128K(27236K), 0.4049890 secs] [Times: user=0.00 sys=0.41, real=0.41 secs] 
69.891: [GC69.891: [DefNew: 8010K->663K(8512K), 0.0025850 secs] 21744K->14398K(27236K), 0.0026470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
69.970: [GC69.970: [DefNew: 8279K->555K(8512K), 0.0028590 secs] 22014K->14661K(27236K), 0.0029180 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
70.064: [GC70.064: [DefNew: 8171K->535K(8512K), 0.0027490 secs] 22277K->14916K(27236K), 0.0028060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
70.138: [GC70.138: [DefNew: 8151K->510K(8512K), 0.0025860 secs] 22532K->15157K(27236K), 0.0026410 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
70.201: [GC70.201: [DefNew: 8126K->896K(8512K), 0.0035810 secs] 22773K->16098K(27236K), 0.0036540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
70.603: [GC70.603: [DefNew: 8512K->896K(8512K), 0.1560390 secs] 23714K->17675K(27236K), 0.1561170 secs] [Times: user=0.00 sys=0.15, real=0.16 secs] 
70.880: [GC70.880: [DefNew: 8512K->896K(8512K), 0.0041220 secs] 25291K->19407K(27236K), 0.0042070 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
71.919: [GC71.919: [DefNew: 8512K->896K(8512K), 0.0056780 secs]71.924: [Tenured: 19850K->19875K(19876K), 0.0771570 secs] 27023K->20020K(28388K), [Perm : 35313K->35313K(35328K)], 0.0830090 secs] [Times: user=0.08 sys=0.00, real=0.08 secs] 
72.698: [GC72.698: [DefNew: 13376K->1248K(14976K), 0.2527540 secs] 33251K->21124K(48104K), 0.3933320 secs] [Times: user=0.01 sys=0.23, real=0.39 secs] 
74.806: [GC74.806: [DefNew: 14624K->1164K(14976K), 0.0078380 secs] 34500K->22129K(48104K), 0.0079310 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1182.729: [GC1182.729: [DefNew: 14540K->1261K(14976K), 0.0051440 secs] 35505K->23047K(48104K), 0.0052200 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3672.002: [Full GC3672.002: [Tenured: 21785K->19907K(33128K), 0.0804120 secs] 28296K->19907K(48104K), [Perm : 36659K->36659K(36928K)], 0.0804960 secs] [Times: user=0.08 sys=0.00, real=0.08 secs] 
7272.083: [Full GC7272.083: [Tenured: 19907K->17699K(33128K), 0.0856160 secs] 27486K->17699K(48104K), [Perm : 36675K->36675K(36928K)], 0.0857200 secs] [Times: user=0.08 sys=0.00, real=0.08 secs] 
8066.273: [GC8066.273: [DefNew: 13376K->1600K(14976K), 0.0081450 secs] 31075K->20163K(48104K), 0.0082330 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
8068.933: [GC8068.933: [DefNew: 14976K->1600K(14976K), 0.0072220 secs] 33539K->23573K(48104K), 0.0073050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8107.534: [GC8107.534: [DefNew: 14976K->1599K(14976K), 0.0102650 secs] 36949K->26606K(48104K), 0.0107160 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
8107.606: [GC8107.606: [DefNew: 14975K->1600K(14976K), 0.0323070 secs] 39982K->29501K(48104K), 0.0324380 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
8108.659: [GC8108.659: [DefNew: 14976K->952K(14976K), 0.0050950 secs] 42877K->29930K(48104K), 0.1592290 secs] [Times: user=0.00 sys=0.00, real=0.16 secs] 
8110.468: [Full GC8110.468: [Tenured: 28977K->24604K(33128K), 0.1020820 secs] 33888K->24604K(48104K), [Perm : 42367K->42350K(42368K)], 0.1025180 secs] [Times: user=0.10 sys=0.00, real=0.11 secs] 
8111.791: [GC8111.791: [DefNew: 16448K->1726K(18496K), 0.0060630 secs] 41052K->26330K(59504K), 0.0061630 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
8112.391: [GC8112.391: [DefNew: 18174K->787K(18496K), 0.0061390 secs] 42778K->25925K(59504K), 0.0070060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8196.062: [GC8196.062: [DefNew: 17235K->2048K(18496K), 0.0072280 secs] 42373K->27739K(59504K), 0.0073340 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
8197.056: [GC8197.056: [DefNew: 18496K->635K(18496K), 0.0094050 secs] 44187K->28353K(59504K), 0.0115010 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
8197.727: [GC8197.727: [DefNew: 17083K->1203K(18496K), 0.0042260 secs] 44801K->28921K(59504K), 0.0043110 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8198.402: [GC8198.402: [DefNew: 17651K->1308K(18496K), 0.0076280 secs] 45369K->29578K(59504K), 0.0077200 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8198.937: [GC8198.937: [DefNew: 17756K->1321K(18496K), 0.0046200 secs] 46026K->30156K(59504K), 0.0046930 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
8200.053: [GC8200.053: [DefNew: 17769K->1191K(18496K), 0.0072040 secs] 46604K->30724K(59504K), 0.0073350 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8200.999: [GC8200.999: [DefNew: 17639K->1177K(18496K), 0.0749510 secs] 47172K->31274K(59504K), 0.0750540 secs] [Times: user=0.00 sys=0.04, real=0.08 secs] 
8201.420: [GC8201.420: [DefNew: 17625K->1328K(18496K), 0.0048710 secs] 47722K->32025K(59504K), 0.0049620 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
8201.800: [GC8201.800: [DefNew: 17776K->1403K(18496K), 0.0049030 secs] 48473K->32641K(59504K), 0.0049830 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
8202.395: [GC8202.395: [DefNew: 17851K->1239K(18496K), 0.0048020 secs] 49089K->33239K(59504K), 0.0048760 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
8202.818: [GC8202.818: [DefNew: 17687K->1213K(18496K), 0.0457520 secs] 49687K->33830K(59504K), 0.0458510 secs] [Times: user=0.00 sys=0.04, real=0.05 secs] 
8203.441: [GC8203.441: [DefNew: 17661K->1012K(18496K), 0.0049830 secs] 50278K->34229K(59504K), 0.0050920 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
